title,artist,album,year,length_seconds,bpm,camelot,energy,added_at,duration_seconds,popularity,genres,album_date,dance,acoustic,instrumental,valence,speech,live,loud_db,musical_key,time_signature,isrc,explicit,genre,internet_tags,user_tags,combined_tags,youtube_url,source_url,artwork_url,is_favorite,itunes_track_id,fetched_at_utc
Soft Focus (Sleep),MATAPALO,Soft Focus,2025,196,0.0,,0.0,2026-07-07T10:58:02.274824+00:00,196,0,,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,False,Meditation,,"sleep, calm, night, dark, instrumental","sleep, calm, night, dark, instrumental",https://www.youtube.com/results?search_query=MATAPALO+Soft+Focus+%28Sleep%29+official+audio,https://music.apple.com/us/album/soft-focus-sleep/1826836583?i=1826836584&uo=4,,False,1826836584,2026-07-07T10:59:12.542415+00:00
Stardust Dream,Tulving,Stardust Dream - EP,2024,208,0.0,,0.41,2026-07-07T11:00:48.139195+00:00,208,2,,2024-07-17,0.45,0.28,0.08,0.5,0.07,0.1,-21.4,,0,US23A1584289,False,New Age,,"instrumental, sleep, calm, relax, night","instrumental, sleep, calm, relax, night",https://www.youtube.com/results?search_query=Tulving+Stardust+Dream+official+audio,https://music.apple.com/us/album/stardust-dream/1751998029?i=1751998030&uo=4,,False,1751998030,2026-07-07T11:02:17.984873+00:00
Doo Wop (That Thing),Lauryn Hill,The Miseducation of Lauryn Hill,1998,320,99.9,,0.527,2026-07-07T11:05:37.630045+00:00,241,86,,2015-01-23,0.495,0.28,0.08,0.5,0.07,0.1,-12.7,,0,USSM19802337,False,R&B/Soul,,"rap, society, female-led, r&b, black","rap, society, female-led, r&b, black",https://www.youtube.com/results?search_query=Lauryn+Hill+Doo+Wop+%28That+Thing%29+official+audio,https://music.apple.com/us/album/doo-wop-that-thing/1276760743?i=1276760748&uo=4,,False,1276760748,2026-07-07T11:07:23.474009+00:00
Low (feat. T-Pain),Flo Rida,Mail On Sunday,2007,231,128.0,,0.762,2026-07-07T11:07:33.594875+00:00,231,79,,2008-01-15,0.623,0.28,0.08,0.5,0.07,0.1,-9.8,,0,USAT20705841,False,Hip-Hop/Rap,,"club-music, rap, high-energy","club-music, rap, high-energy",https://www.youtube.com/results?search_query=Flo+Rida+Low+%28feat.+T-Pain%29+official+audio,https://music.apple.com/us/album/low-feat-t-pain/275496110?i=275496141&uo=4,,False,275496141,2026-07-07T11:08:39.101998+00:00
i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,291,137.81,,0.75,2026-07-07T11:08:42.969003+00:00,291,82,,2019-03-29,0.667,0.28,0.08,0.5,0.07,0.1,-13.8,,0,USUM71900773,False,Alternative,,pop,pop,https://www.youtube.com/results?search_query=Billie+Eilish+i+love+you+official+audio,https://music.apple.com/us/album/i-love-you/1450695723?i=1450695895&uo=4,,False,1450695895,2026-07-07T11:09:14.587333+00:00
A Moment Apart,ODESZA,A Moment Apart,2017,234,119.84,,0.714,2026-07-07T11:09:18.338333+00:00,234,60,,2017-09-08,0.586,0.28,0.08,0.5,0.07,0.1,-9.0,,0,GBCFB1700210,False,Electronic,,"chill, relaxed, house","chill, relaxed, house",https://www.youtube.com/results?search_query=ODESZA+A+Moment+Apart+official+audio,https://music.apple.com/us/album/a-moment-apart/1240361817?i=1240362777&uo=4,,False,1240362777,2026-07-07T11:11:26.796487+00:00
Best Part (feat. Daniel Caesar),H.E.R.,H.E.R.,2017,209,0.0,,0.0,2026-07-07T11:11:42.298060+00:00,209,0,,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,False,R&B/Soul,,"r&b, female-lead, black, slow","r&b, female-lead, black, slow",https://www.youtube.com/results?search_query=H.E.R.+Best+Part+%28feat.+Daniel+Caesar%29+official+audio,https://music.apple.com/us/album/best-part-feat-daniel-caesar/1294890052?i=1294891012&uo=4,,False,1294891012,2026-07-07T11:13:29.852904+00:00
Cherry-Coloured Funk,Cocteau Twins,Heaven Or Las Vegas (Remastered),1990,192,0.0,,0.48,2026-07-07T11:13:34.474291+00:00,192,62,,1990-09-17,0.45,0.28,0.08,0.5,0.07,0.1,-8.4,,0,GBAFL9000062,False,Rock,,"indie, slow, rock","indie, slow, rock",https://www.youtube.com/results?search_query=Cocteau+Twins+Cherry-Coloured+Funk+official+audio,https://music.apple.com/us/album/cherry-coloured-funk/258198881?i=258198956&uo=4,,False,258198956,2026-07-07T11:14:26.998225+00:00
On the Sea,Beach House,Bloom,2012,332,0.0,,0.48,2026-07-07T11:14:33.192906+00:00,332,19,,2012-05-15,0.45,0.28,0.08,0.5,0.07,0.1,-9.8,,0,USSUB1296509,False,Alternative,,"rock, indie, alternative, experimental","rock, indie, alternative, experimental",https://www.youtube.com/results?search_query=Beach+House+On+the+Sea+official+audio,https://music.apple.com/us/album/on-the-sea/509665145?i=509665551&uo=4,,False,509665551,2026-07-07T11:15:27.328747+00:00
Misery Business,Paramore,Riot!,2007,211,173.0,,1.0,2026-07-07T11:47:24.540987+00:00,211,78,,2007-06-12,0.814,0.28,0.08,0.5,0.07,0.1,-7.3,,0,USAT20702617,False,Alternative,"rock, pop punk, female vocalists, paramore, alternative, alternative rock, emo, punk","punk, female-lead","rock, pop punk, female vocalists, paramore, alternative, alternative rock, emo, punk, female-lead",https://www.youtube.com/results?search_query=Paramore+Misery+Business+official+audio,https://music.apple.com/us/album/misery-business/604804755?i=604804763&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/9a/3a/26/9a3a2608-29a7-5585-f990-cdfeb10b7394/075679955005.jpg/600x600bb.jpg,True,604804763,2026-07-07T11:48:29.250051+00:00
Let Down,Radiohead,OK Computer,1997,299,102.08,,0.61,2026-07-07T11:48:53.408142+00:00,299,89,,1997-05-28,0.505,0.28,0.08,0.5,0.07,0.1,-10.3,,0,GBAYE9701374,False,Alternative,"alternative, alternative rock, rock, radiohead, beautiful, 90s, indie, british","slow, radiohead","alternative, alternative rock, rock, radiohead, beautiful, 90s, indie, british, slow",https://www.youtube.com/results?search_query=Radiohead+Let+Down+official+audio,https://music.apple.com/us/album/let-down/1097861387?i=1097861834&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/07/60/ba/0760ba0f-148c-b18f-d0ff-169ee96f3af5/634904078164.png/600x600bb.jpg,True,1097861834,2026-07-07T11:49:29.620054+00:00
